County,FIPS.code,Population,AreaSQMILES,x_lat,y_long,,,,,,
Gregg ,183,123367,274 ,-94.81723694,32.48036452,,,,,,
Grimes ,185,28032,794 ,-95.98557334,30.54360689,,,,,,
Guadalupe ,187,159659,711,-97.94850308,29.58257236,,,,,,
Hale ,189,34134,"1,005 ",-101.8269082,34.07051782,,,,,,
Hall ,191,3071,903 ,-100.6809876,34.53074134,,,,,,
Hamilton ,193,8422,836 ,-98.11066654,31.70479181,,,,,,
Hansford ,195,5477,920 ,-101.3545624,36.27753179,,,,,,
Hardeman ,197,3994,695 ,-99.7453851,34.28865227,,,,,,
Hardin ,199,57139,894 ,-94.39021394,30.33238431,,,,,,
Harris ,201,4652980,"1,729 ",-95.39782106,29.85967144,,,,,,
Harrison ,203,66661,899 ,-94.37155736,32.54814898,,,,,,
Hartley ,205,5691,"1,462 ",-102.6028835,35.83996755,,,,,,
Haskell ,207,5746,903 ,-99.73029401,33.17824805,,,,,,
Hays ,209,214485,678 ,-98.03104087,30.05782657,,,,,,
Hemphill ,211,4024,910 ,-100.2704628,35.83750155,,,,,,
Henderson ,213,81064,874 ,-95.85356847,32.21188078,,,,,,
Hidalgo ,215,860661,"1,569 ",-98.18088681,26.396627,,,,,,
Hill ,217,35852,962 ,-97.1324142,31.99079033,,,,,,
Hockley ,219,23088,908 ,-102.3430919,33.60750375,,,,,,
Hood ,221,58273,422 ,-97.83280338,32.43107878,,,,,,
Hopkins ,223,36496,785 ,-95.56414173,33.14933822,,,,,,
Houston ,225,23021,"1,231 ",-95.42225367,31.31764137,,,,,,
Howard ,227,36040,903 ,-101.4355097,32.30610232,,,,,,
Hudspeth ,229,4408,"4,571 ",-105.3869428,31.45613738,,,,,,
Hunt ,231,93872,841 ,-96.08550014,33.123531,,,,,,
Hutchinson ,233,21375,887,-101.3547257,35.84000866,,,,,,
Irion ,235,1516,"1,052 ",-100.9824126,31.30393203,,,,,,
Jack ,237,8832,917 ,-98.1725509,33.23345819,,,,,,
Jackson ,239,14805,830 ,-96.57883268,28.95603133,,,,,,
Jasper ,241,35561,938,-94.02495849,30.74391255,,,,,,
Jeff Davis ,243,2280,"2,265 ",-104.1403539,30.71559322,,,,,,
Jefferson ,245,256299,904 ,-94.1708778,29.88425832,,,,,,
Jim Hogg ,247,5202,"1,136 ",-98.6972921,27.04340499,,,,,,
Jim Wells ,249,40871,865 ,-98.0898649,27.73131099,,,,,,
Johnson ,251,167301,729 ,-97.36660504,32.37899918,,,,,,
Jones ,253,19983,931 ,-99.87850599,32.73970429,,,,,,
Karnes ,255,15187,750 ,-97.85960621,28.90493782,,,,,,
Kaufman ,257,122883,786 ,-96.28779341,32.59927808,,,,,,
Kendall ,259,44026,662 ,-98.71160511,29.9446397,,,,,,
Kenedy ,261,417,"1,457 ",-97.68137783,26.92409448,,,,,,
Kent ,263,763,902 ,-100.7791031,33.18284492,,,,,,
Kerr ,265,51720,"1,106 ",-99.35016969,30.06153035,,,,,,
Kimble ,267,4410,"1,251 ",-99.74892716,30.48676251,,,,,,
King ,269,296,912 ,-100.2558584,33.61641863,,,,,,
Kinney ,271,3745,"1,364 ",-100.4178441,29.35000302,,,,,,
Kleberg ,273,31088,871 ,-97.72889778,27.43274395,,,,,,
Knox ,275,3710,854 ,-99.74144313,33.60614755,,,,,,
Lamar ,277,49587,917 ,-99.1034773,28.34621032,,,,,,
Lamb ,279,13210,"1,016 ",-95.57110784,33.66746186,,,,,,
Lampasas ,281,21207,712 ,-102.3517095,34.06861242,,,,,,
La Salle ,283,7584,"1,489",-98.24142711,31.19627791,,,,,,
Lavaca ,285,20062,970 ,-96.93020993,29.38437003,,,,,,
