County,FIPS.code,Population,AreaSQMILES,x_lat,y_long
Kenedy ,261,417,"1,457 ",-97.6,27.7
Kent ,263,763,902 ,-99.7,33.6
Kerr ,265,51720,"1,106 ",-99.8,30.9
Kimble ,267,4410,"1,251 ",-102.3,34.5
King ,269,296,912 ,-96.4,30.2
Kinney ,271,3745,"1,364 ",-96,31.3
Kleberg ,273,31088,871 ,-100.2,34.5
Knox ,275,3710,854 ,-101.9,36.3
Lamar ,277,49587,917 ,-104.5,31.4
Lamb ,279,13210,"1,016 ",-98.1,29.2
Lampasas ,281,21207,712 ,-99.2,33.6
La Salle ,283,7584,"1,489",-94.2,31.4
Lavaca ,285,20062,970 ,-101.9,35.8
Lee ,287,17183,629 ,-97.2,33.6
Leon ,289,17243,"1,072 ",-101.2,29.9
Liberty ,291,83658,"1,160 ",-95.2,31.8
Limestone ,293,23527,909 ,-99.1,28.3
Lipscomb ,295,3378,932 ,-101,31.3
Live Oak ,297,12174,"1,036 ",-95,29.4
Llano ,299,21210,935 ,-96.6,30.5
Loving ,301,134,673 ,-97.9,28.9
Lubbock ,303,305225,900 ,-102.4,34.1
Lynn ,305,5859,892 ,-102.6,35
McCulloch ,307,7957,"1,069 ",-96.6,31.5
McLennan ,309,251259,"1,042",-97.4,28.7
McMullen ,311,778,"1,113 ",-96.4,32.9
Madison ,313,14222,470 ,-99.2,30.7
Marion ,315,10064,381,-96,30.5
Martin ,317,5626,915 ,-98.7,30.7
Mason ,319,4222,932 ,-98.1,28.4
Matagorda ,321,36840,"1,114 ",-95.8,29.5
Maverick ,323,58216,"1,280 ",-98.8,31.2
Medina ,325,50066,"1,328 ",-101.9,32.7
Menard ,327,2124,902 ,-100.8,36.3
Midland ,329,165049,900 ,-100.8,35
Milam ,331,25053,"1,017 ",-105.4,31.5
Mills ,333,4921,748 ,-96.2,29.3
Mitchell ,335,8468,910 ,-97,30.8
Montague ,337,19539,931 ,-101.4,36.3
Montgomery ,339,570934,"1,044 ",-102.6,35.8
Moore ,341,22097,900 ,-97.8,30.3
Morris ,343,12467,254 ,-96.6,33.2
Motley ,345,1230,989 ,-95.4,32.8
Nacogdoches ,347,65580,947 ,-93.9,30.1
Navarro ,349,48701,"1,071 ",-97,30.3
Newton ,351,13952,933 ,-98.2,26.4
Nolan ,353,14770,912 ,-97.3,32.8
Nueces ,355,361221,836 ,-94.3,33.1
Ochiltree ,357,10073,918 ,-102.6,36.3
Oldham ,359,2114,"1,501 ",-95.1,31.1
Orange ,361,85047,356 ,-102,31.9
Palo Pinto ,363,28570,953 ,-103.7,31.3
Panola ,365,23243,801 ,-96.6,29
Parker ,367,133463,904 ,-99.4,32.3
Parmer ,369,9842,882 ,-95.7,31.8
Pecos ,371,15634,"4,764 ",-95.1,33.6
Polk ,373,49162,"1,057 ",-97.7,26.9
Potter ,375,120458,909 ,-97.8,32.8
Presidio ,377,7156,"3,856 ",-102.5,31.4
Rains ,379,11762,232 ,-96.6,28.5
Randall ,381,134442,914 ,-94.4,32.8
Reagan ,383,3710,"1,175 ",-98.8,32.3
Real ,385,3429,700,-94.6,29.7
Red River ,387,12229,"1,050 ",-94.9,32.7
Reeves ,389,15281,"2,636",-93.9,31.3
Refugio ,391,7224,770 ,-96.8,32.3
Roberts ,393,938,924 ,-103.3,29.8
Robertson ,395,17203,855 ,-100.7,34.5
Rockwall ,397,96788,149,-97.5,29.5
Runnels ,399,10266,"1,054 ",-95.8,32.9
Rusk ,401,52833,924,-101.2,34.5
Sabine ,403,10461,490 ,-100.8,33.2
San Augustine ,405,8253,528 ,-97.5,31
San Jacinto ,407,28270,571 ,-95.5,29.2
San Patricio ,409,67215,692,-95.2,33.2
San Saba ,411,5959,"1,134",-94.7,33.1
Schleicher ,413,3001,"1,311 ",-99.8,29.8
Scurry ,415,17050,903,-98.2,31.2
Shackelford ,417,3328,914 ,-97.9,29.6
Shelby ,419,25513,794 ,-99.2,34.1
Sherman ,421,3067,923 ,-98.5,29.4
Smith ,423,227727,928 ,-99.8,28.9
Somervell ,425,8845,187 ,-97.8,32.4
Starr ,427,64454,"1,223 ",-100.3,36.3
Stephens ,429,9337,895 ,-102.7,30.8
Sterling ,431,1295,923 ,-99.2,33.2
Stonewall ,433,1388,919 ,-95.4,31.3
Sutton ,435,3767,"1,454",-97.8,32.2
Swisher ,437,7515,900 ,-101.4,35.4
Tarrant ,439,2054475,864 ,-101.4,30.7
Taylor ,441,136290,916 ,-99.5,31.8
Terrell ,443,810,"2,358 ",-102.8,33.6
Terry ,445,12715,890 ,-97.1,33.2
Throckmorton ,447,1527,912 ,-94.4,30.8
Titus ,449,32904,411 ,-97.6,31.9
Tom Green ,451,118019,"1,522 ",-95.6,30.7
Travis ,453,1226698,989 ,-102.6,32.3
Trinity ,455,14667,693 ,-101.4,32.3
Tyler ,457,21539,923 ,-99.9,32.3
Upshur ,459,41281,588 ,-106.2,31.8
Upton ,461,3663,"1,242 ",-100.3,35.8
Uvalde ,463,27132,"1,557",-101.5,31.4
Val Verde ,465,49205,"3,171 ",-99.8,28.4
Van Zandt ,467,55182,849 ,-96.9,29.9
Victoria ,469,92084,883,-94.6,31.3
Walker ,471,72245,788 ,-100.8,34.1
Waller ,473,51307,514 ,-98.6,28.4
Ward ,475,11472,836 ,-100.5,31.9
Washington ,477,35043,609,-99.1,29.4
Webb ,479,274794,"3,357 ",-102.5,31.9
Wharton ,481,41968,"1,090 ",-94.2,29.9
Wheeler ,483,5358,914 ,-96.5,31
Wichita ,485,132000,628 ,-96.3,30.7
Wilbarger ,487,12764,971 ,-99.7,30.5
Willacy ,489,21584,597 ,-94.4,30.3
Williamson ,491,547545,"1,124 ",-101.4,32.7
Wilson ,493,49304,807 ,-95.9,32.2
Winkler ,495,7574,841 ,-97.4,32.4
Wise ,497,66181,905 ,-103.1,31.5
Wood ,499,44314,650 ,-98.2,33.8
Yoakum ,501,8568,800 ,-96,28.9
Young ,503,17979,922 ,-98.1,27.7
Zapata ,505,14322,997,-98.7,33.6
Zavala ,507,11948,"1,299 ",-97.8,31.4
